Data supplied by UK-AIR on 14/5/2011
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Cardiff Centre,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"Carbon monoxide",status,unit,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Non-volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Non-volatile PM<sub>2.5</sub> (Hourly measured)",status,unit,"Ozone",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Sulphur dioxide",status,unit,"Volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Volatile PM2.5 (Hourly measured)",status,unit
23-05-2010,09:00,0.2,R,mgm-3,29,R,ugm-3 (TEOM FDMS),6,R,ugm-3,15,R,ugm-3,25,R,ugm-3,24,R,ugm-3 (TEOM FDMS),12,R,ugm-3 (TEOM FDMS),48,R,ugm-3,15,R,ugm-3 (TEOM FDMS),5,R,ugm-3,5,R,ugm-3 (TEOM FDMS),3,R,ugm-3 (TEOM FDMS)
23-05-2010,10:00,0.1,R,mgm-3,22,R,ugm-3 (TEOM FDMS),3,R,ugm-3,10,R,ugm-3,13,R,ugm-3,19,R,ugm-3 (TEOM FDMS),17,R,ugm-3 (TEOM FDMS),54,R,ugm-3,19,R,ugm-3 (TEOM FDMS),5,R,ugm-3,3,R,ugm-3 (TEOM FDMS),2,R,ugm-3 (TEOM FDMS)
23-05-2010,11:00,0.2,R,mgm-3,20,R,ugm-3 (TEOM FDMS),3,R,ugm-3,10,R,ugm-3,13,R,ugm-3,16,R,ugm-3 (TEOM FDMS),8,R,ugm-3 (TEOM FDMS),58,R,ugm-3,6,R,ugm-3 (TEOM FDMS),8,R,ugm-3,4,R,ugm-3 (TEOM FDMS),-2,R,ugm-3 (TEOM FDMS)
23-05-2010,12:00,0.1,R,mgm-3,18,R,ugm-3 (TEOM FDMS),1,R,ugm-3,10,R,ugm-3,11,R,ugm-3,16,R,ugm-3 (TEOM FDMS),9,R,ugm-3 (TEOM FDMS),64,R,ugm-3,12,R,ugm-3 (TEOM FDMS),5,R,ugm-3,2,R,ugm-3 (TEOM FDMS),3,R,ugm-3 (TEOM FDMS)
23-05-2010,13:00,0.1,R,mgm-3,13,R,ugm-3 (TEOM FDMS),0,R,ugm-3,6,R,ugm-3,6,R,ugm-3,11,R,ugm-3 (TEOM FDMS),8,R,ugm-3 (TEOM FDMS),74,R,ugm-3,9,R,ugm-3 (TEOM FDMS),3,R,ugm-3,2,R,ugm-3 (TEOM FDMS),1,R,ugm-3 (TEOM FDMS)
23-05-2010,14:00,0.1,R,mgm-3,16,R,ugm-3 (TEOM FDMS),1,R,ugm-3,6,R,ugm-3,8,R,ugm-3,12,R,ugm-3 (TEOM FDMS),8,R,ugm-3 (TEOM FDMS),76,R,ugm-3,7,R,ugm-3 (TEOM FDMS),3,R,ugm-3,4,R,ugm-3 (TEOM FDMS),-1,R,ugm-3 (TEOM FDMS)
23-05-2010,15:00,0.1,R,mgm-3,12,R,ugm-3 (TEOM FDMS),0,R,ugm-3,4,R,ugm-3,4,R,ugm-3,8,R,ugm-3 (TEOM FDMS),3,R,ugm-3 (TEOM FDMS),74,R,ugm-3,8,R,ugm-3 (TEOM FDMS),3,R,ugm-3,4,R,ugm-3 (TEOM FDMS),5,R,ugm-3 (TEOM FDMS)
23-05-2010,16:00,0.1,R,mgm-3,12,R,ugm-3 (TEOM FDMS),0,R,ugm-3,4,R,ugm-3,4,R,ugm-3,8,R,ugm-3 (TEOM FDMS),3,R,ugm-3 (TEOM FDMS),76,R,ugm-3,5,R,ugm-3 (TEOM FDMS),3,R,ugm-3,4,R,ugm-3 (TEOM FDMS),2,R,ugm-3 (TEOM FDMS)
23-05-2010,17:00,0.1,R,mgm-3,11,R,ugm-3 (TEOM FDMS),0,R,ugm-3,4,R,ugm-3,4,R,ugm-3,7,R,ugm-3 (TEOM FDMS),6,R,ugm-3 (TEOM FDMS),82,R,ugm-3,8,R,ugm-3 (TEOM FDMS),3,R,ugm-3,4,R,ugm-3 (TEOM FDMS),2,R,ugm-3 (TEOM FDMS)
23-05-2010,18:00,0.1,R,mgm-3,11,R,ugm-3 (TEOM FDMS),0,R,ugm-3,4,R,ugm-3,4,R,ugm-3,8,R,ugm-3 (TEOM FDMS),5,R,ugm-3 (TEOM FDMS),86,R,ugm-3,5,R,ugm-3 (TEOM FDMS),3,R,ugm-3,3,R,ugm-3 (TEOM FDMS),0,R,ugm-3 (TEOM FDMS)
23-05-2010,19:00,0.2,R,mgm-3,11,R,ugm-3 (TEOM FDMS),0,R,ugm-3,6,R,ugm-3,6,R,ugm-3,8,R,ugm-3 (TEOM FDMS),5,R,ugm-3 (TEOM FDMS),84,R,ugm-3,5,R,ugm-3 (TEOM FDMS),0,R,ugm-3,3,R,ugm-3 (TEOM FDMS),0,R,ugm-3 (TEOM FDMS)
23-05-2010,20:00,0.1,R,mgm-3,12,R,ugm-3 (TEOM FDMS),0,R,ugm-3,17,R,ugm-3,17,R,ugm-3,10,R,ugm-3 (TEOM FDMS),6,R,ugm-3 (TEOM FDMS),70,R,ugm-3,8,R,ugm-3 (TEOM FDMS),3,R,ugm-3,2,R,ugm-3 (TEOM FDMS),2,R,ugm-3 (TEOM FDMS)
23-05-2010,21:00,0.1,R,mgm-3,11,R,ugm-3 (TEOM FDMS),0,R,ugm-3,19,R,ugm-3,19,R,ugm-3,9,R,ugm-3 (TEOM FDMS),7,R,ugm-3 (TEOM FDMS),72,R,ugm-3,10,R,ugm-3 (TEOM FDMS),3,R,ugm-3,2,R,ugm-3 (TEOM FDMS),3,R,ugm-3 (TEOM FDMS)
23-05-2010,22:00,0.2,R,mgm-3,15,R,ugm-3 (TEOM FDMS),0,R,ugm-3,36,R,ugm-3,36,R,ugm-3,14,R,ugm-3 (TEOM FDMS),8,R,ugm-3 (TEOM FDMS),48,R,ugm-3,9,R,ugm-3 (TEOM FDMS),3,R,ugm-3,1,R,ugm-3 (TEOM FDMS),1,R,ugm-3 (TEOM FDMS)
23-05-2010,23:00,0.3,R,mgm-3,23,R,ugm-3 (TEOM FDMS),16,R,ugm-3,65,R,ugm-3,90,R,ugm-3,21,R,ugm-3 (TEOM FDMS),14,R,ugm-3 (TEOM FDMS),14,R,ugm-3,17,R,ugm-3 (TEOM FDMS),5,R,ugm-3,2,R,ugm-3 (TEOM FDMS),3,R,ugm-3 (TEOM FDMS)
23-05-2010,24:00,0.2,R,mgm-3,38,R,ugm-3 (TEOM FDMS),1,R,ugm-3,34,R,ugm-3,36,R,ugm-3,35,R,ugm-3 (TEOM FDMS),15,R,ugm-3 (TEOM FDMS),24,R,ugm-3,17,R,ugm-3 (TEOM FDMS),3,R,ugm-3,3,R,ugm-3 (TEOM FDMS),2,R,ugm-3 (TEOM FDMS)
24-05-2010,01:00,0.2,R,mgm-3,23,R,ugm-3 (TEOM FDMS),1,R,ugm-3,31,R,ugm-3,32,R,ugm-3,20,R,ugm-3 (TEOM FDMS),14,R,ugm-3 (TEOM FDMS),18,R,ugm-3,16,R,ugm-3 (TEOM FDMS),0,R,ugm-3,3,R,ugm-3 (TEOM FDMS),2,R,ugm-3 (TEOM FDMS)
24-05-2010,02:00,0.3,R,mgm-3,22,R,ugm-3 (TEOM FDMS),1,R,ugm-3,29,R,ugm-3,31,R,ugm-3,20,R,ugm-3 (TEOM FDMS),14,R,ugm-3 (TEOM FDMS),10,R,ugm-3,15,R,ugm-3 (TEOM FDMS),0,R,ugm-3,2,R,ugm-3 (TEOM FDMS),1,R,ugm-3 (TEOM FDMS)
24-05-2010,03:00,0.3,R,mgm-3,22,R,ugm-3 (TEOM FDMS),1,R,ugm-3,27,R,ugm-3,29,R,ugm-3,20,R,ugm-3 (TEOM FDMS),16,R,ugm-3 (TEOM FDMS),12,R,ugm-3,18,R,ugm-3 (TEOM FDMS),0,R,ugm-3,2,R,ugm-3 (TEOM FDMS),2,R,ugm-3 (TEOM FDMS)
24-05-2010,04:00,0.3,R,mgm-3,23,R,ugm-3 (TEOM FDMS),3,R,ugm-3,25,R,ugm-3,29,R,ugm-3,20,R,ugm-3 (TEOM FDMS),15,R,ugm-3 (TEOM FDMS),16,R,ugm-3,19,R,ugm-3 (TEOM FDMS),0,R,ugm-3,3,R,ugm-3 (TEOM FDMS),4,R,ugm-3 (TEOM FDMS)
24-05-2010,05:00,0.3,R,mgm-3,25,R,ugm-3 (TEOM FDMS),3,R,ugm-3,21,R,ugm-3,25,R,ugm-3,21,R,ugm-3 (TEOM FDMS),13,R,ugm-3 (TEOM FDMS),14,R,ugm-3,14,R,ugm-3 (TEOM FDMS),0,R,ugm-3,4,R,ugm-3 (TEOM FDMS),1,R,ugm-3 (TEOM FDMS)
24-05-2010,06:00,0.3,R,mgm-3,26,R,ugm-3 (TEOM FDMS),14,R,ugm-3,31,R,ugm-3,52,R,ugm-3,24,R,ugm-3 (TEOM FDMS),16,R,ugm-3 (TEOM FDMS),8,R,ugm-3,16,R,ugm-3 (TEOM FDMS),0,R,ugm-3,2,R,ugm-3 (TEOM FDMS),0,R,ugm-3 (TEOM FDMS)
24-05-2010,07:00,0.3,R,mgm-3,24,R,ugm-3 (TEOM FDMS),20,R,ugm-3,34,R,ugm-3,65,R,ugm-3,22,R,ugm-3 (TEOM FDMS),14,R,ugm-3 (TEOM FDMS),14,R,ugm-3,15,R,ugm-3 (TEOM FDMS),0,R,ugm-3,2,R,ugm-3 (TEOM FDMS),1,R,ugm-3 (TEOM FDMS)
24-05-2010,08:00,0.6,R,mgm-3,35,R,ugm-3 (TEOM FDMS),23,R,ugm-3,44,R,ugm-3,78,R,ugm-3,31,R,ugm-3 (TEOM FDMS),21,R,ugm-3 (TEOM FDMS),20,R,ugm-3,22,R,ugm-3 (TEOM FDMS),8,R,ugm-3,4,R,ugm-3 (TEOM FDMS),1,R,ugm-3 (TEOM FDMS)
24-05-2010,09:00,0.5,R,mgm-3,27,R,ugm-3 (TEOM FDMS),14,R,ugm-3,42,R,ugm-3,63,R,ugm-3,24,R,ugm-3 (TEOM FDMS),18,R,ugm-3 (TEOM FDMS),36,R,ugm-3,19,R,ugm-3 (TEOM FDMS),13,R,ugm-3,3,R,ugm-3 (TEOM FDMS),1,R,ugm-3 (TEOM FDMS)
24-05-2010,10:00,0.3,R,mgm-3,20,R,ugm-3 (TEOM FDMS),10,R,ugm-3,34,R,ugm-3,50,R,ugm-3,19,R,ugm-3 (TEOM FDMS),13,R,ugm-3 (TEOM FDMS),52,R,ugm-3,11,R,ugm-3 (TEOM FDMS),11,R,ugm-3,1,R,ugm-3 (TEOM FDMS),-2,R,ugm-3 (TEOM FDMS)
24-05-2010,11:00,0.2,R,mgm-3,19,R,ugm-3 (TEOM FDMS),3,R,ugm-3,21,R,ugm-3,25,R,ugm-3,16,R,ugm-3 (TEOM FDMS),7,R,ugm-3 (TEOM FDMS),78,R,ugm-3,9,R,ugm-3 (TEOM FDMS),5,R,ugm-3,3,R,ugm-3 (TEOM FDMS),2,R,ugm-3 (TEOM FDMS)
24-05-2010,12:00,0.2,R,mgm-3,21,R,ugm-3 (TEOM FDMS),3,R,ugm-3,19,R,ugm-3,23,R,ugm-3,21,R,ugm-3 (TEOM FDMS),17,R,ugm-3 (TEOM FDMS),84,R,ugm-3,15,R,ugm-3 (TEOM FDMS),3,R,ugm-3,0,R,ugm-3 (TEOM FDMS),-2,R,ugm-3 (TEOM FDMS)
24-05-2010,13:00,0.2,R,mgm-3,28,R,ugm-3 (TEOM FDMS),3,R,ugm-3,27,R,ugm-3,31,R,ugm-3,26,R,ugm-3 (TEOM FDMS),,,,84,R,ugm-3,,,,8,R,ugm-3,2,R,ugm-3 (TEOM FDMS),,,
24-05-2010,14:00,0.3,R,mgm-3,,,,1,R,ugm-3,17,R,ugm-3,19,R,ugm-3,,,,,,,86,R,ugm-3,,,,11,R,ugm-3,,,,,,
24-05-2010,15:00,0.2,R,mgm-3,,,,0,R,ugm-3,4,R,ugm-3,4,R,ugm-3,,,,,,,94,R,ugm-3,,,,,,,,,,,,
24-05-2010,16:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-05-2010,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-05-2010,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-05-2010,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-05-2010,20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-05-2010,21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-05-2010,22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-05-2010,23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24-05-2010,24:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-05-2010,01:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-05-2010,02:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-05-2010,03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-05-2010,04:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-05-2010,05:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-05-2010,06:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-05-2010,07:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-05-2010,08:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-05-2010,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-05-2010,10:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-05-2010,11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-05-2010,12:00,0.1,R,mgm-3,,,,1,R,ugm-3,10,R,ugm-3,11,R,ugm-3,,,,,,,68,R,ugm-3,,,,,,,,,,,,
25-05-2010,13:00,0.1,R,mgm-3,,,,3,R,ugm-3,13,R,ugm-3,17,R,ugm-3,,,,,,,78,R,ugm-3,,,,0,R,ugm-3,,,,,,
25-05-2010,14:00,0.1,R,mgm-3,,,,3,R,ugm-3,11,R,ugm-3,15,R,ugm-3,,,,,,,86,R,ugm-3,,,,0,R,ugm-3,,,,,,
25-05-2010,15:00,0.1,R,mgm-3,,,,1,R,ugm-3,11,R,ugm-3,13,R,ugm-3,,,,,,,86,R,ugm-3,,,,0,R,ugm-3,,,,,,
25-05-2010,16:00,0.1,R,mgm-3,,,,3,R,ugm-3,15,R,ugm-3,19,R,ugm-3,,,,,,,82,R,ugm-3,,,,0,R,ugm-3,,,,,,
25-05-2010,17:00,0.2,R,mgm-3,,,,3,R,ugm-3,21,R,ugm-3,25,R,ugm-3,,,,,,,78,R,ugm-3,,,,3,R,ugm-3,,,,,,
25-05-2010,18:00,0.1,R,mgm-3,,,,3,R,ugm-3,17,R,ugm-3,21,R,ugm-3,,,,,,,76,R,ugm-3,,,,3,R,ugm-3,,,,,,
25-05-2010,19:00,0.1,R,mgm-3,,,,1,R,ugm-3,15,R,ugm-3,17,R,ugm-3,,,,,,,74,R,ugm-3,,,,0,R,ugm-3,,,,,,
25-05-2010,20:00,0.1,R,mgm-3,,,,3,R,ugm-3,21,R,ugm-3,25,R,ugm-3,,,,,,,62,R,ugm-3,,,,0,R,ugm-3,,,,,,
25-05-2010,21:00,0.1,R,mgm-3,,,,0,R,ugm-3,25,R,ugm-3,25,R,ugm-3,,,,,,,54,R,ugm-3,,,,3,R,ugm-3,,,,,,
25-05-2010,22:00,0.1,R,mgm-3,,,,0,R,ugm-3,21,R,ugm-3,21,R,ugm-3,,,,,,,52,R,ugm-3,,,,0,R,ugm-3,,,,,,
25-05-2010,23:00,0.1,R,mgm-3,,,,1,R,ugm-3,21,R,ugm-3,23,R,ugm-3,,,,,,,54,R,ugm-3,,,,3,R,ugm-3,,,,,,
25-05-2010,24:00,0.1,R,mgm-3,,,,0,R,ugm-3,19,R,ugm-3,19,R,ugm-3,,,,,,,50,R,ugm-3,,,,3,R,ugm-3,,,,,,
26-05-2010,01:00,0.1,R,mgm-3,,,,0,R,ugm-3,19,R,ugm-3,19,R,ugm-3,,,,,,,48,R,ugm-3,,,,3,R,ugm-3,,,,,,
26-05-2010,02:00,0.1,R,mgm-3,,,,0,R,ugm-3,15,R,ugm-3,15,R,ugm-3,,,,,,,40,R,ugm-3,,,,3,R,ugm-3,,,,,,
26-05-2010,03:00,0.1,R,mgm-3,,,,0,R,ugm-3,13,R,ugm-3,13,R,ugm-3,,,,,,,42,R,ugm-3,,,,3,R,ugm-3,,,,,,
26-05-2010,04:00,0.1,R,mgm-3,,,,0,R,ugm-3,17,R,ugm-3,17,R,ugm-3,,,,,,,44,R,ugm-3,,,,3,R,ugm-3,,,,,,
26-05-2010,05:00,0.1,R,mgm-3,,,,1,R,ugm-3,11,R,ugm-3,13,R,ugm-3,,,,,,,44,R,ugm-3,,,,3,R,ugm-3,,,,,,
26-05-2010,06:00,0.1,R,mgm-3,,,,3,R,ugm-3,17,R,ugm-3,21,R,ugm-3,,,,,,,42,R,ugm-3,,,,3,R,ugm-3,,,,,,
26-05-2010,07:00,0.1,R,mgm-3,,,,5,R,ugm-3,21,R,ugm-3,29,R,ugm-3,,,,,,,44,R,ugm-3,,,,3,R,ugm-3,,,,,,
26-05-2010,08:00,0.2,R,mgm-3,,,,9,R,ugm-3,25,R,ugm-3,38,R,ugm-3,,,,,,,46,R,ugm-3,,,,3,R,ugm-3,,,,,,
26-05-2010,09:00,0.1,R,mgm-3,,,,8,R,ugm-3,21,R,ugm-3,32,R,ugm-3,,,,,,,48,R,ugm-3,,,,5,R,ugm-3,,,,,,
26-05-2010,10:00,0.1,R,mgm-3,,,,9,R,ugm-3,15,R,ugm-3,29,R,ugm-3,,,,,,,56,R,ugm-3,,,,3,R,ugm-3,,,,,,
26-05-2010,11:00,0.1,R,mgm-3,,,,4,R,ugm-3,15,R,ugm-3,21,R,ugm-3,,,,,,,58,R,ugm-3,,,,3,R,ugm-3,,,,,,
26-05-2010,12:00,0.2,R,mgm-3,,,,4,R,ugm-3,15,R,ugm-3,21,R,ugm-3,,,,,,,62,R,ugm-3,,,,3,R,ugm-3,,,,,,
26-05-2010,13:00,0.1,R,mgm-3,,,,5,R,ugm-3,17,R,ugm-3,25,R,ugm-3,,,,,,,64,R,ugm-3,,,,3,R,ugm-3,,,,,,
26-05-2010,14:00,0.1,R,mgm-3,,,,3,R,ugm-3,11,R,ugm-3,15,R,ugm-3,,,,,,,74,R,ugm-3,,,,3,R,ugm-3,,,,,,
26-05-2010,15:00,0.1,R,mgm-3,,,,3,R,ugm-3,15,R,ugm-3,19,R,ugm-3,,,,,,,76,R,ugm-3,,,,3,R,ugm-3,,,,,,
26-05-2010,16:00,0.1,R,mgm-3,,,,5,R,ugm-3,21,R,ugm-3,29,R,ugm-3,,,,,,,82,R,ugm-3,,,,3,R,ugm-3,,,,,,
26-05-2010,17:00,0.1,R,mgm-3,,,,4,R,ugm-3,25,R,ugm-3,31,R,ugm-3,,,,,,,78,R,ugm-3,,,,3,R,ugm-3,,,,,,
26-05-2010,18:00,0.1,R,mgm-3,,,,3,R,ugm-3,29,R,ugm-3,32,R,ugm-3,,,,,,,76,R,ugm-3,,,,3,R,ugm-3,,,,,,
26-05-2010,19:00,0.1,R,mgm-3,,,,1,R,ugm-3,25,R,ugm-3,27,R,ugm-3,,,,,,,68,R,ugm-3,,,,3,R,ugm-3,,,,,,
26-05-2010,20:00,0.1,R,mgm-3,,,,1,R,ugm-3,23,R,ugm-3,25,R,ugm-3,,,,,,,68,R,ugm-3,,,,5,R,ugm-3,,,,,,
26-05-2010,21:00,0.2,R,mgm-3,,,,1,R,ugm-3,17,R,ugm-3,19,R,ugm-3,,,,,,,56,R,ugm-3,,,,3,R,ugm-3,,,,,,
26-05-2010,22:00,0.1,R,mgm-3,,,,1,R,ugm-3,13,R,ugm-3,15,R,ugm-3,,,,,,,54,R,ugm-3,,,,0,R,ugm-3,,,,,,
26-05-2010,23:00,0.1,R,mgm-3,,,,1,R,ugm-3,13,R,ugm-3,15,R,ugm-3,,,,,,,44,R,ugm-3,,,,0,R,ugm-3,,,,,,
26-05-2010,24:00,0.1,R,mgm-3,,,,0,R,ugm-3,13,R,ugm-3,13,R,ugm-3,,,,,,,38,R,ugm-3,,,,3,R,ugm-3,,,,,,
27-05-2010,01:00,0.1,R,mgm-3,,,,0,R,ugm-3,15,R,ugm-3,15,R,ugm-3,,,,,,,36,R,ugm-3,,,,3,R,ugm-3,,,,,,
27-05-2010,02:00,0.1,R,mgm-3,,,,0,R,ugm-3,19,R,ugm-3,19,R,ugm-3,,,,,,,32,R,ugm-3,,,,3,R,ugm-3,,,,,,
27-05-2010,03:00,0.1,R,mgm-3,,,,0,R,ugm-3,17,R,ugm-3,17,R,ugm-3,,,,,,,34,R,ugm-3,,,,3,R,ugm-3,,,,,,
27-05-2010,04:00,0.1,R,mgm-3,,,,0,R,ugm-3,15,R,ugm-3,15,R,ugm-3,,,,,,,40,R,ugm-3,,,,3,R,ugm-3,,,,,,
27-05-2010,05:00,0.1,R,mgm-3,,,,15,R,ugm-3,36,R,ugm-3,59,R,ugm-3,,,,,,,38,R,ugm-3,,,,5,R,ugm-3,,,,,,
27-05-2010,06:00,0.1,R,mgm-3,,,,4,R,ugm-3,15,R,ugm-3,21,R,ugm-3,,,,,,,42,R,ugm-3,,,,3,R,ugm-3,,,,,,
27-05-2010,07:00,0.1,R,mgm-3,,,,5,R,ugm-3,15,R,ugm-3,23,R,ugm-3,,,,,,,48,R,ugm-3,,,,3,R,ugm-3,,,,,,
27-05-2010,08:00,0.1,R,mgm-3,,,,5,R,ugm-3,13,R,ugm-3,21,R,ugm-3,,,,,,,54,R,ugm-3,,,,3,R,ugm-3,,,,,,
27-05-2010,09:00,0.1,R,mgm-3,,,,5,R,ugm-3,13,R,ugm-3,21,R,ugm-3,,,,,,,58,R,ugm-3,,,,3,R,ugm-3,,,,,,
27-05-2010,10:00,0.1,R,mgm-3,,,,4,R,ugm-3,13,R,ugm-3,19,R,ugm-3,,,,,,,64,R,ugm-3,,,,3,R,ugm-3,,,,,,
27-05-2010,11:00,0.1,R,mgm-3,,,,3,R,ugm-3,8,R,ugm-3,11,R,ugm-3,,,,,,,68,R,ugm-3,,,,3,R,ugm-3,,,,,,
27-05-2010,12:00,0.1,R,mgm-3,,,,4,R,ugm-3,11,R,ugm-3,17,R,ugm-3,,,,,,,68,R,ugm-3,,,,3,R,ugm-3,,,,,,
27-05-2010,13:00,0.1,R,mgm-3,,,,5,R,ugm-3,17,R,ugm-3,25,R,ugm-3,,,,,,,64,R,ugm-3,,,,3,R,ugm-3,,,,,,
27-05-2010,14:00,0.1,R,mgm-3,,,,5,R,ugm-3,17,R,ugm-3,25,R,ugm-3,,,,,,,70,R,ugm-3,,,,3,R,ugm-3,,,,,,
27-05-2010,15:00,0.1,R,mgm-3,,,,4,R,ugm-3,11,R,ugm-3,17,R,ugm-3,,,,,,,72,R,ugm-3,,,,3,R,ugm-3,,,,,,
27-05-2010,16:00,0.1,R,mgm-3,,,,6,R,ugm-3,19,R,ugm-3,29,R,ugm-3,,,,,,,68,R,ugm-3,,,,3,R,ugm-3,,,,,,
27-05-2010,17:00,0.1,R,mgm-3,,,,4,R,ugm-3,13,R,ugm-3,19,R,ugm-3,,,,,,,68,R,ugm-3,,,,3,R,ugm-3,,,,,,
27-05-2010,18:00,0.1,R,mgm-3,,,,9,R,ugm-3,25,R,ugm-3,38,R,ugm-3,,,,,,,64,R,ugm-3,,,,3,R,ugm-3,,,,,,
27-05-2010,19:00,0.1,R,mgm-3,,,,3,R,ugm-3,11,R,ugm-3,15,R,ugm-3,,,,,,,66,R,ugm-3,,,,3,R,ugm-3,,,,,,
27-05-2010,20:00,0.1,R,mgm-3,,,,1,R,ugm-3,11,R,ugm-3,13,R,ugm-3,,,,,,,64,R,ugm-3,,,,3,R,ugm-3,,,,,,
27-05-2010,21:00,0.1,R,mgm-3,,,,1,R,ugm-3,11,R,ugm-3,13,R,ugm-3,,,,,,,62,R,ugm-3,,,,3,R,ugm-3,,,,,,
27-05-2010,22:00,0.1,R,mgm-3,,,,0,R,ugm-3,13,R,ugm-3,13,R,ugm-3,,,,,,,58,R,ugm-3,,,,0,R,ugm-3,,,,,,
27-05-2010,23:00,0.1,R,mgm-3,,,,6,R,ugm-3,19,R,ugm-3,29,R,ugm-3,,,,,,,50,R,ugm-3,,,,3,R,ugm-3,,,,,,
27-05-2010,24:00,0.1,R,mgm-3,,,,0,R,ugm-3,10,R,ugm-3,10,R,ugm-3,,,,,,,58,R,ugm-3,,,,0,R,ugm-3,,,,,,
28-05-2010,01:00,0.2,R,mgm-3,,,,0,R,ugm-3,8,R,ugm-3,8,R,ugm-3,,,,,,,60,R,ugm-3,,,,0,R,ugm-3,,,,,,
28-05-2010,02:00,0.1,R,mgm-3,,,,0,R,ugm-3,11,R,ugm-3,11,R,ugm-3,,,,,,,48,R,ugm-3,,,,0,R,ugm-3,,,,,,
28-05-2010,03:00,0.1,R,mgm-3,,,,0,R,ugm-3,10,R,ugm-3,10,R,ugm-3,,,,,,,48,R,ugm-3,,,,0,R,ugm-3,,,,,,
28-05-2010,04:00,0.2,R,mgm-3,,,,1,R,ugm-3,13,R,ugm-3,15,R,ugm-3,,,,,,,44,R,ugm-3,,,,0,R,ugm-3,,,,,,
28-05-2010,05:00,0.2,R,mgm-3,,,,3,R,ugm-3,10,R,ugm-3,13,R,ugm-3,,,,,,,38,R,ugm-3,,,,0,R,ugm-3,,,,,,
28-05-2010,06:00,0.2,R,mgm-3,,,,5,R,ugm-3,15,R,ugm-3,23,R,ugm-3,,,,,,,32,R,ugm-3,,,,0,R,ugm-3,,,,,,
28-05-2010,07:00,0.2,R,mgm-3,,,,6,R,ugm-3,15,R,ugm-3,25,R,ugm-3,,,,,,,34,R,ugm-3,,,,0,R,ugm-3,,,,,,
28-05-2010,08:00,0.2,R,mgm-3,,,,8,R,ugm-3,17,R,ugm-3,29,R,ugm-3,,,,,,,38,R,ugm-3,,,,3,R,ugm-3,,,,,,
28-05-2010,09:00,0.3,R,mgm-3,,,,8,R,ugm-3,15,R,ugm-3,27,R,ugm-3,,,,,,,44,R,ugm-3,,,,3,R,ugm-3,,,,,,
28-05-2010,10:00,0.3,R,mgm-3,,,,9,R,ugm-3,19,R,ugm-3,32,R,ugm-3,,,,,,,44,R,ugm-3,,,,8,R,ugm-3,,,,,,
28-05-2010,11:00,0.2,R,mgm-3,,,,6,R,ugm-3,15,R,ugm-3,25,R,ugm-3,,,,,,,52,R,ugm-3,,,,5,R,ugm-3,,,,,,
28-05-2010,12:00,0.2,R,mgm-3,,,,5,R,ugm-3,13,R,ugm-3,21,R,ugm-3,,,,,,,56,R,ugm-3,,,,3,R,ugm-3,,,,,,
28-05-2010,13:00,0.2,R,mgm-3,,,,4,R,ugm-3,11,R,ugm-3,17,R,ugm-3,,,,,,,60,R,ugm-3,,,,3,R,ugm-3,,,,,,
28-05-2010,14:00,0.2,R,mgm-3,,,,6,R,ugm-3,13,R,ugm-3,23,R,ugm-3,,,,,,,60,R,ugm-3,,,,3,R,ugm-3,,,,,,
28-05-2010,15:00,0.2,R,mgm-3,,,,6,R,ugm-3,13,R,ugm-3,23,R,ugm-3,,,,,,,60,R,ugm-3,,,,0,R,ugm-3,,,,,,
